Facility Name,City,Type,Location,Street Address,Zip Code,Google Map Embed,Listing Description,Continent,Thumbnail,Social:Image,Listing Images,Hourly Rate,Display Price,Sports,Booking Link,Rentals Page (INTERNAL USE),Rating,Approved,Manager,Email (from Host),Picture (from Host),User (from Host),Host Name (from Host),Host Email,Users,Activities,Booking Requests,SEO:Index,SEO:Title,SEO:Description,Social:Title,Social:Description,SEO:Slug,Activity Reviews (from Activities),Latitude,Longitude
Courtyard 3,Fremont,basketball,"35521 Cabrillo Dr, Fremont, CA 94538",35521 Cabrillo Dr,94538,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/d6d5c975f7ad3e06d179/1581966174415-780-69.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5e431d12fc5c600091bf8a3b?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Courtyard 3,Fremont,basketball,"35521 Cabrillo Dr, Fremont, CA 94538",35521 Cabrillo Dr,94538,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/d6d5c975f7ad3e06d179/1581966174406-697-43.jpeg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/d6d5c975f7ad3e06d179/1581966174415-780-69.jpeg']",From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5e431d12fc5c600091bf8a3b?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Field - Practice,Fremont,basketball,"45051 Wisdom Rd, Fremont, CA 94538",45051 Wisdom Rd,94538,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg,https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg,['https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg'],From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5e431d12fc5c600091bf86ab?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Field - Practice,Fremont,basketball,"45051 Wisdom Rd, Fremont, CA 94538",45051 Wisdom Rd,94538,N/A,Outdoor basketball courts are perfect for practices and games. This space can also be utilized for other outdoor events.,North America,https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg,https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg,['https://c1.facilitron.com/img/default-images/facility-hero/default_basketballoutdoor-hero.jpg'],From $23.39/hr,From $23.39/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5e431d12fc5c600091bf86ab?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Parking Lot,Newark,basketball,"37490 Birch St, Newark, CA 94560",37490 Birch St,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/96ab4e5c59ed5555a668/1503284131775-544-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/96ab4e5c59ed5555a668/1503284131856-189-32.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8ba4b?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Parking Lot,Newark,basketball,"37490 Birch St, Newark, CA 94560",37490 Birch St,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/96ab4e5c59ed5555a668/1503284131775-544-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/96ab4e5c59ed5555a668/1503284131775-544-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/96ab4e5c59ed5555a668/1503284131856-189-32.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8ba4b?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Swim Complex,Newark,basketball,"39375 Cedar Blvd, Newark, CA 94560",39375 Cedar Blvd,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/2bf0ecfb0e086cb34f07/1504894261435-535-33.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8b9d9?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Swim Complex,Newark,basketball,"39375 Cedar Blvd, Newark, CA 94560",39375 Cedar Blvd,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/2bf0ecfb0e086cb34f07/1504894241323-848-32.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/2bf0ecfb0e086cb34f07/1504894261435-535-33.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8b9d9?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Library,Newark,basketball,"5715 Musick Ave, Newark, CA 94560",5715 Musick Ave,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3282e77b8a7e6a59f39a/1502920153709-876-103.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8bad5?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Library,Newark,basketball,"5715 Musick Ave, Newark, CA 94560",5715 Musick Ave,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3282e77b8a7e6a59f39a/1502920153641-850-103.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/3282e77b8a7e6a59f39a/1502920153709-876-103.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8bad5?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Classroom Standard,Newark,basketball,"35753 Cedar Blvd., Newark, CA 94560",35753 Cedar Blvd.,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/1d6a44563c6811f8adea/1502925001015-006-45.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/1d6a44563c6811f8adea/1502925000912-816-45.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8b9e2?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
Classroom Standard,Newark,basketball,"35753 Cedar Blvd., Newark, CA 94560",35753 Cedar Blvd.,94560,N/A,"Outdoor basketball courts are perfect for pickup games or large tournaments. They can be rented out individually, or fully rented out depending on size of the event. Courts are all regulation size blacktop courts.",North America,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg,https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg,"['https://d2rzw8waxoxhv2.cloudfront.net/facilities/medium/1d6a44563c6811f8adea/1502925001015-006-45.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/1d6a44563c6811f8adea/1502925001015-006-45.jpg', 'https://d2rzw8waxoxhv2.cloudfront.net/facilities/large/1d6a44563c6811f8adea/1502925000912-816-45.jpg']",From $0/hr,From $0/hr,"['Badminton', 'Basketball', 'Volleyball']","https://facilities.facilitron.com/5994a9f2eae244002dd8b9e2?query=basketball&lat=37.5485396&lng=-121.988583&location=Fremont,%20CA,%20USA&startDate=1722816000000",,,,,,,,,,,,,,,,,,,,,
